date,word,letter1,letter2,letter3,letter4,letter5,letter1rank,letter2rank,letter3rank,letter4rank,letter5rank,rarityscore,positionalraritypercentile,summativeraritypercentile
24-Jan-22,knoll,k,n,o,l,l,15,9,4,6,9,43,0.79,0.684397163
25-Jan-22,sugar,s,u,g,a,r,1,5,14,2,7,29,0.35,0.346284305
26-Jan-22,whack,w,h,a,c,k,14,8,1,14,13,50,0.90,0.994449584
27-Jan-22,mount,m,o,u,n,t,7,2,8,5,5,27,0.28,0.684397163
28-Jan-22,perky,p,e,r,k,y,4,3,2,10,3,22,0.14,0.832947888
29-Jan-22,could,c,o,u,l,d,2,2,8,6,4,22,0.14,0.653484428
30-Jan-22,wrung,w,r,u,n,g,14,6,8,5,16,49,0.89,0.963536849
31-Jan-22,light,l,i,g,h,t,12,4,14,18,5,53,0.93,0.873342584
1-Feb-22,those,t,h,o,s,e,5,8,4,9,2,28,0.31,0.19164354
2-Feb-22,moist,m,o,i,s,t,7,2,3,9,5,26,0.25,0.2804502
3-Feb-22,shard,s,h,a,r,d,1,8,1,7,4,21,0.11,0.346284305
4-Feb-22,pleat,p,l,e,a,t,4,7,6,2,5,24,0.19,0.2804502
5-Feb-22,aloft,a,l,o,f,t,6,7,4,19,5,41,0.74,0.558510638
6-Feb-22,skill,s,k,i,l,l,1,16,3,6,9,35,0.56,0.490826395
7-Feb-22,elder,e,l,d,e,r,17,7,13,1,7,45,0.83,0.103299414
8-Feb-22,frame,f,r,a,m,e,11,6,1,15,2,35,0.56,0.653484428
9-Feb-22,humor,h,u,m,o,r,13,5,11,8,7,44,0.81,0.785769349
10-Feb-22,pause,p,a,u,s,e,4,1,8,9,2,24,0.19,0.165895776
11-Feb-22,ulcer,u,l,c,e,r,21,7,12,1,7,48,0.88,0.380820228
12-Feb-22,ultra,u,l,t,r,a,21,7,9,7,6,50,0.90,0.249537465
13-Feb-22,robin,r,o,b,i,n,10,2,16,4,8,40,0.71,0.558510638
14-Feb-22,cynic,c,o,b,i,n,2,2,16,4,8,32,0.65,0.852605612
15-Feb-22,aroma,a,o,b,i,n,6,2,16,4,8,36,0.62,0.165895776
16-Feb-22,caulk,c,a,u,l,k,2,1,8,6,13,30,0.39,0.832947888
17-Feb-22,shake,s,h,a,k,e,1,8,1,10,2,22,0.14,0.52436016
18-Feb-22,dodge,d,o,d,g,e,8,2,13,12,2,37,0.62,0.653484428
